Date,Subways: Total Estimated Ridership,Buses: Total Estimated Ridership,LIRR: Total Estimated Ridership,Metro-North: Total Estimated Ridership,Access-A-Ride: Total Scheduled Trips,Bridges and Tunnels: Total Traffic,Staten Island Railway: Total Estimated Ridership
2021-02-15,1218593,726412,65652,21792,11437,641883,1764
2021-02-16,1627528,963223,72718,36234,19126,726224,3211
2021-02-17,1733160,1061711,74219,39205,22336,821333,3349
2021-02-18,1381886,725951,57987,31747,15843,456327,2521
2021-02-19,1566021,809308,64121,38307,14172,608152,2707
2021-02-20,1110589,679240,30920,25729,10578,657045,1381
2021-02-21,836095,516715,25208,19844,9195,605395,956
2021-02-22,1582054,927414,69741,35468,19015,691608,3079
2021-02-23,1730198,1040398,73492,37505,20852,759850,3406
2021-02-24,1806306,1099351,74777,39124,23223,797488,3546
2021-02-25,1798165,1069420,75030,39397,22138,814611,3543
2021-02-26,1822812,1065376,76696,44410,21911,851052,3359
2021-02-27,1072932,635820,28849,24256,11319,681969,1324
2021-02-28,810071,491545,23778,20086,8910,619960,972
2021-03-01,1696274,1020837,74430,36339,20359,747909,3333
2021-03-02,1749511,1024511,75335,36611,20640,763489,3472
2021-03-03,1846431,1119137,78770,39651,22823,798577,3569
2021-03-04,1808744,1078036,78642,39730,21727,807284,3456
2021-03-05,1825915,1041408,79104,45027,21842,846071,3270
2021-03-06,1167884,696719,37158,27276,11951,728236,3
2021-03-07,894119,525930,29306,21547,9843,662461,58
2021-03-08,1719586,1039763,79355,39763,20685,767707,3344
2021-03-09,1834068,1101988,79269,40944,22200,791512,3602
2021-03-10,1849077,1104610,78069,41488,22774,804700,3625
2021-03-11,1881902,1107502,80398,42543,22617,836773,3682
2021-03-12,1914465,1092388,82399,48553,21724,873014,3507
2021-03-13,1257372,730218,38465,31500,11932,776744,0
2021-03-14,923968,531754,30405,22347,9732,673170,0
2021-03-15,1730024,1023990,79331,39529,19986,774146,3264
2021-03-16,1798288,1062179,77672,40038,20903,786996,3394
2021-03-17,1866414,1103979,81431,41682,22323,808876,3465
